id|name|faction_id|source_id|legend|role|loadout|transport|virtual|leader_head|leader_footer|damaged_w|damaged_description|link|
000000882|Custodian Guard|AC|000000024|These warriors form the backbone of the shield companies, and every one is a terrifying force of destruction equal to the strongest of the foe. Whether armed with guardian spear or sentinel blade, their shots are perfectly placed, and every cut, thrust and parry is a masterclass in bladesmanship.|Battleline|<b>Every model is equipped with:</b> guardian spear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Custodian-Guard|
000000883|Venerable Contemptor Dreadnought|AC|000000024|These towering combat walkers are piloted by centuries-old fallen heroes kept alive by irreplaceable technologies. Equipped with weapons that can melt armour and tear apart infantry, Venerable Contemptor Dreadnoughts inflict terrible damage, all while protected by atomantic shields and auto-repair protocols.|Other|<b>This model is equipped with:</b> combi-bolter; multi-melta; Contemptor combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Venerable-Contemptor-Dreadnought|
000000884|Venerable Land Raider|AC|000000024|Land Raiders are heavily armed, mobile fortresses. Possessed of hyper-durable adamantine armour and a fearsome array of weapons, they and their cargo of Custodian warriors can turn the tide of war in a single salvo, and their machine spirits are so potent they can fight on even if the crew are slain.|Other|<b>This model is equipped with:</b> 2 godhammer lascannons; twin heavy bolter; armoured tracks.|This model has a transport capacity of 6 <span class="tooltip00043" data-tooltip-content="#tooltip_content00043" data-tooltip-anchor="#tooltip_content00043"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">INFANTRY</span></span> models.|false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Venerable-Land-Raider|
000001446|Trajann Valoris|AC|000000024|Trajann Valoris’ warrior prowess approaches that of the Primarchs of old. With the Watcher’s Axe he can bisect the sarcophagus of a Chaos Helbrute in a single swing, or use its built-in bolt weapon – known as Eagle’s Scream – to cut down enemy infantry with salvoes of adamantine-tipped penetrator bolts.|Characters|<b>This model is equipped with:</b> Watcher’s Axe.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Trajann-Valoris|
000001447|Shield-captain|AC|000000024|Shield-Captains are among the greatest warriors in the Imperium. No matter which weapons they wield, they display absolute mastery of them. Their tactical and strategic abilities know few peers, and they read the ebb and flow of a war at a glance before directing their forces accordingly.|Characters|<b>This model is equipped with:</b> guardian spear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Shield-captain|
000001448|Shield-captain In Allarus Terminator Armour|AC|000000024|A Shield-Captain is already one of the most formidable combatants and superlative strategists in the Imperium. When clad in a nigh-on impenetrable suit of auramite Terminator armour, they become more powerful still – a walking fortress of Imperial might able to teleport directly into battle in a blaze of golden light.|Characters|<b>This model is equipped with:</b> balistus grenade launcher; guardian spear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Shield-captain-In-Allarus-Terminator-Armour|
000001449|Shield-captain On Dawneagle Jetbike|AC|000000024|All Shield-Captains are decisive warriors who suffer no impediment to their mission. Those Shield-Captains swiftest in thought and action soar into battle on Dawneagle jetbikes, plunging into the heart of the foe. Though these warriors appear arrogant, this is far from true – their self-assuredness is matched entirely by their skill.|Characters|<b>This model is equipped with:</b> salvo launcher; interceptor lance.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Shield-captain-On-Dawneagle-Jetbike|
000001450|Custodian Wardens|AC|000000024|Veterans with centuries of service, Custodian Wardens are level-headed warriors who have sworn to fight as living fortresses no foe shall breach. With frightening intensity and wills of iron, these warriors cleave their foes in two with immense sweeps that are driven by their prodigious physical strength.|Other|<b>Every model is equipped with:</b> guardian spear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Custodian-Wardens|
000001453|Allarus Custodians|AC|000000024|Even amongst the Adeptus Custodes, Allarus Custodians are renowned for their deeds. Teleporting into the most dangerous enemy strongholds, they rely upon the indomitable resilience of their Terminator plate to protect them as they hunt down demagogues and generals. Fighting as individual heroes, they swiftly tear the heart from their foe’s defence.|Other|<b>Every model is equipped with:</b> balistus grenade launcher; guardian spear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Allarus-Custodians|
000001454|Vertus Praetors|AC|000000024|Veteran warriors who have seen battle on a hundred worlds, these Custodians know that the value of speed is in directing their might precisely where and when it is needed most. Master combatants and marksmen both, they can place piercing strikes and deadly salvoes with precision even when travelling at immense speeds.|Other|<b>Every model is equipped with:</b> salvo launcher; interceptor lance.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Vertus-Praetors|
000001458|Contemptor-achillus Dreadnought|AC|000000252|The Contemptor-Achillus adds still greater refinement to an already celebrated blueprint – the revered Contemptor Dreadnought – arming its occupant with a mighty dreadspear equally capable of searing through foes at range or vanquishing them with a single thrust of its glowing blade.|Other|<b>This model is equipped with:</b> 2 lastrum storm bolters; Achillus dreadspear.||false|||||https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes/Contemptor-achillus-Dreadnought|
