id|faction_id|name|legend|description|detachment|
000008393|AC|Martial Mastery|The Custodians have perfected countless ways of making war, be it on a personal, tactical or strategic scale.|Once per battle, at the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, you can use Martial Mastery. If you do, until the start of the next battle round:<br><ul><li>Each time an <span class="tooltip00238" data-tooltip-content="#tooltip_content00238" data-tooltip-anchor="#tooltip_content00238"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model from your army with the <span class="tooltip00537" data-tooltip-content="#tooltip_content00537"><span class="tt kwbu">Martial</span> <span class="tt kwbu">Ka’tah</span></span> ability makes a melee attack, a succesful unmodifed <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Critical</span> <span class="tt kwbu">Hit</span></span>.</li><li>Improve the Armour Penetration characteristic of melee weapons equipped by <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> models from your army with the Martial Ka’tah ability by 1.</li></ul>|Shield Host|
000008920|AC|Revered Companions|The Custodians and the Silent Sisters often fought as one during the earliest days of the Imperium. Ten thousand years on, they have lost none of the unity of doctrine and purpose that makes them such a deadly combination.|<span class="tooltip00239" data-tooltip-content="#tooltip_content00239" data-tooltip-anchor="#tooltip_content00239"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> units from your army gain the following the ability:<br><br><b>Null Aegis (Aura):</b> While an <span class="tooltip00238" data-tooltip-content="#tooltip_content00238" data-tooltip-anchor="#tooltip_content00238"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> unit is within 6" of this unit, models in that unit have the <span class="tooltip00027" data-tooltip-content="#tooltip_content00027"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability against <span class="tooltip00579" data-tooltip-content="#tooltip_content00579"><span class="tt kwbu">Psychic</span> <span class="tt kwbu">Attacks</span></span> and <span class="tooltip00003" data-tooltip-content="#tooltip_content00003"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>.<br><br>All other <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> units from your army gain the following ability:<br><br><b>Deadly Unity (Aura):</b> While an <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit is within 6" of this unit, each time a model in that <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit makes an attack, add 1 to the <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>.|Talons Of The Emperor|
000008924|AC|Creeping Dread (Aura)|The instinctive fear caused by the Pariah gene spreads like a terrible pall before the cadres of the Silent Sisterhood.|In the <span class="tooltip00028" data-tooltip-content="#tooltip_content00028"><span class="tt kwbu">Battle-shock</span></span> step of your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if an enemy unit that is either a <span class="kwb">PSYKER</span> unit or below its <span class="tooltip00573" data-tooltip-content="#tooltip_content00573"><span class="tt kwbu">Starting</span> <span class="tt kwbu">Strength</span></span> is within 12" of one or more <span class="tooltip00239" data-tooltip-content="#tooltip_content00239" data-tooltip-anchor="#tooltip_content00239"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> models from your army, that enemy unit must take a <span class="tooltip00028" data-tooltip-content="#tooltip_content00028"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">test</span></span>. If that unit is <span class="tooltip00561" data-tooltip-content="#tooltip_content00561"><span class="tt kwbu">Below</span> <span class="tt kwbu">Half-strength</span></span>, it must subtract 1 from its Battle-shock test this phase instead.<br><br><b>Designer’s Note:</b> <i>This means that all enemy <span class="kwb">PSYKER</span> units within range of this <span class="tooltip00562" data-tooltip-content="#tooltip_content00562"><span class="tt kwbu">Aura</span> <span class="tt kwbu">ability</span></span> and all enemy units within range of this Aura ability that have lost one or more models must take a Battle-shock test in your opponents Command phase, not just those that are Below Half-strength.</i>|Null Maiden Vigil|
000008925|AC|KEYWORDS||If you select this Detachment, <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Prosecutors"><span class="kwb kwbo">PROSECUTORS</span></a> units from your army have the <span class="kwb">BATTLELINE</span> keyword.|Null Maiden Vigil|
000008929|AC|Assemblage of Might|When such exceptional warriors as these gather to quest in the Emperors name, even the most dreadful foes of Humanity are right to fear for their lives.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponent’s army. Until the start of your next Command phase, each time an <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">CHARACTER</span></span> model from your army makes an attack that targets that enemy unit, add 1 to the <span class="tooltip00014" data-tooltip-content="#tooltip_content00014"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span>.|Auric Champions|
000008384|AdM|Rad-bombardment|Whether as a result of natural phenomena, apocalyptic internecine strife or calamitous accidents, many forge worlds are heavily irradiated. When holy wars of requisition are unleashed, the Tech-Priests think nothing of turning this invisible curse upon their foes, bombarding the battlefield with deadly radiation prior to an assault.|<div class="whiteDiamondLine">BATTLE ROUND<div class="whiteDiamondWrap"><div class="redDiamondSpan"><div class="whiteDiamondSpan"><div class="whiteDiamondText">1</div></div></div></div></div><span class="hi_custom">BOMBARDMENT</span><br>At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, for each enemy unit within your opponents deployment zone, your opponent must decide whether that unit will take cover or stand firm. You then roll one D6 for each of those enemy units and apply the relevant result below:<br><ul><li><b>Unit Standing Firm:</b> On a 3+, that unit suffers D3 <span class="tooltip00003" data-tooltip-content="#tooltip_content00003"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>.</li><li><b>Unit Taking Cover:</b> Until the end of the battle round, that unit is <span class="tooltip00028" data-tooltip-content="#tooltip_content00028"><span class="tt kwbu">Battle-shocked</span></span> and, on a 5+, that unit suffers D3 mortal wounds.</li></ul><br><div class="whiteDiamondLine">BATTLE ROUND<div class="whiteDiamondWrap"><div class="redDiamondSpan"><div class="whiteDiamondSpan"><div class="whiteDiamondText">2</div></div></div></div>     &emsp;&emsp;&nbsp;&nbsp;&nbsp;&nbsp;ONWARDS</div><span class="hi_custom">FALLOUT</span><br>At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> during the second, third, fourth and fifth battle rounds, roll one D6 for each enemy unit within your opponent’s deployment zone. On a 3+, that unit suffers 1 mortal wound and must take a Battle-shock test.|Rad-Zone Corps|
000008559|AdM|Stealth Optimisation|Hunter Cohorts combine a mastery of stealth warfare and cogitational analysis with stealth screen projectors and target-fouling apparatuses. They are elusive foes to face, and especially sinister to those they have designated as prey.|<span class="tooltip00048" data-tooltip-content="#tooltip_content00048" data-tooltip-anchor="#tooltip_content00048"><span class="kwb kwbu">SKITARII</span> <span class="kwb kwbu">INFANTRY</span></span>, <span class="tooltip00590" data-tooltip-content="#tooltip_content00590" data-tooltip-anchor="#tooltip_content00590"><span class="kwb kwbu">SKITARII</span> <span class="kwb kwbu">MOUNTED</span></span> and <a class="kwbOne" href="/wh40k10ed/factions/adeptus-mechanicus/Ironstrider-Ballistarii"><span class="kwb kwbo">IRONSTRIDER</span> <span class="kwb kwbo">BALLISTARII</span></a> units from your army have the <span class="tooltip00557" data-tooltip-content="#tooltip_content00557"><span class="tt kwbu">Stealth</span></span> ability, and each time a ranged attack targets a <span class="tooltip00591" data-tooltip-content="#tooltip_content00591" data-tooltip-anchor="#tooltip_content00591"><span class="kwb kwbu">SICARIAN</span></span> unit from your army, unless the attacking model is within 12", the target has the <span class="tooltip00272" data-tooltip-content="#tooltip_content00272"><span class="tt kwbu">Benefit</span> <span class="tt kwbu">of</span> <span class="tt kwbu">Cover</span></span> against that attack.|Skitarii Hunter Cohort|
000008563|AdM|Benedictions Of The Omnissiah|The Tech-Priests of the Omnissiah lead their disciples in a cortege of war. The buzz of static psalms chanted in synchronicity unites all in the stately eradication of the heretic and blasphemer.|At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, select one of the following Benedictions of the Omnissiah to be active for <span class="tooltip00251" data-tooltip-content="#tooltip_content00251" data-tooltip-anchor="#tooltip_content00251"><span class="kwb kwbu">CULT</span> <span class="kwb kwbu">MECHANICUS</span></span> units from your army until the end of the battle:<br><br><span class="hi_custom">Panegyric Procession</span><br>Each time a <span class="kwb">CULT</span> <span class="kwb">MECHANICUS</span> model from your army makes a ranged attack that targets a unit within half range, improve the Armour Penetration characteristic of that attack by 1.<br><br><span class="hi_custom">Citation in Savagery</span><br>Each time a <span class="kwb">CULT</span> <span class="kwb">MECHANICUS</span> unit from your army is selected to fight, if that unit made a <span class="tooltip00241" data-tooltip-content="#tooltip_content00241"><span class="tt kwbu">Charge</span> <span class="tt kwbu">move</span></span> this turn, until the end of the phase, add 1 to the Strength and Attacks characteristics of melee weapons equipped by models in that unit.|Data-Psalm Conclave|
000008567|AdM|Acquisition At Any Cost|In their eternal quest for the acquisition of knowledge and technology, Tech-Priests require superhuman efforts from the troops under their command.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one <span class="tooltip00245" data-tooltip-content="#tooltip_content00245"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span>. Until the start of your next Command phase, that objective marker is your Acquisition objective marker. Each time an <span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model from your army makes an attack, if that model’s unit is within range of your Acquisition objective marker, or if the target of that attack is within range of your Acquisition objective marker, re-roll a <span class="tooltip00014" data-tooltip-content="#tooltip_content00014"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> of 1.|Explorator Maniple|
000008571|AdM|Cyber-Psalm Programming|In advance of a Cohort Cyberneticas battles, the Legios most talented Datasmiths will feed dogmatic auto-scripture into the programming cores of their robotic charges, as well as oracular schematics and tactical hymnals that delineate the strategy to come. So blessed, the Cohorts robots add their own grinding chants of static to a systematic chorus of praise in the Omnissiah’s name.|<span class="tooltip00552" data-tooltip-content="#tooltip_content00552" data-tooltip-anchor="#tooltip_content00552"><span class="kwb kwbu">LEGIO</span> <span class="kwb kwbu">CYBERNETICA</span></span> units from your army gain the <span class="tooltip00592" data-tooltip-content="#tooltip_content00592"><span class="tt kwbu">Doctrina</span> <span class="tt kwbu">Imperatives</span></span> army rule |Cohort Cybernetica|
