id|name|link|
AoI|Agents of the Imperium|https://wahapedia.ru/wh40k10ed/factions/agents-of-the-imperium|
AM|Astra Militarum|https://wahapedia.ru/wh40k10ed/factions/astra-militarum|
GC|Genestealer Cults|https://wahapedia.ru/wh40k10ed/factions/genestealer-cults|
NEC|Necrons|https://wahapedia.ru/wh40k10ed/factions/necrons|
AE|Aeldari|https://wahapedia.ru/wh40k10ed/factions/aeldari|
TL|Adeptus Titanicus|https://wahapedia.ru/wh40k10ed/factions/adeptus-titanicus|
ORK|Orks|https://wahapedia.ru/wh40k10ed/factions/orks|
UN|Unaligned Forces|https://wahapedia.ru/wh40k10ed/factions/unaligned-forces|
GK|Grey Knights|https://wahapedia.ru/wh40k10ed/factions/grey-knights|
TAU|T’au Empire|https://wahapedia.ru/wh40k10ed/factions/t-au-empire|
LoV|Leagues of Votann|https://wahapedia.ru/wh40k10ed/factions/leagues-of-votann|
AdM|Adeptus Mechanicus|https://wahapedia.ru/wh40k10ed/factions/adeptus-mechanicus|
TS|Thousand Sons|https://wahapedia.ru/wh40k10ed/factions/thousand-sons|
DG|Death Guard|https://wahapedia.ru/wh40k10ed/factions/death-guard|
WE|World Eaters|https://wahapedia.ru/wh40k10ed/factions/world-eaters|
QT|Chaos Knights|https://wahapedia.ru/wh40k10ed/factions/chaos-knights|
CD|Chaos Daemons|https://wahapedia.ru/wh40k10ed/factions/chaos-daemons|
QI|Imperial Knights|https://wahapedia.ru/wh40k10ed/factions/imperial-knights|
SM|Space Marines|https://wahapedia.ru/wh40k10ed/factions/space-marines|
TYR|Tyranids|https://wahapedia.ru/wh40k10ed/factions/tyranids|
AC|Adeptus Custodes|https://wahapedia.ru/wh40k10ed/factions/adeptus-custodes|
AS|Adepta Sororitas|https://wahapedia.ru/wh40k10ed/factions/adepta-sororitas|
CSM|Chaos Space Marines|https://wahapedia.ru/wh40k10ed/factions/chaos-space-marines|
DRU|Drukhari|https://wahapedia.ru/wh40k10ed/factions/drukhari|
