faction_id|id|name|type|cp_cost|legend|turn|phase|detachment|description|
|000008335002|COMMAND RE-ROLL|Core – Battle Tactic Stratagem|1|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either player’s turn|Any phase||<b>WHEN:</b> Any phase, just after you make an <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Desperate Escape test</a> or a <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">Hazardous test</a> for a unit from your army, or a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>, a Damage roll or a <a href="/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> for a model in that unit, or a roll to determine the number of attacks made with a weapon equipped by a model in that unit.   <br><br><b>TARGET:</b> That unit from your army.<br><br><b>EFFECT:</b> You <a href="/wh40k10ed/the-rules/core-rules/#Re-rolls">re-roll</a> that roll, test or saving throw.|
|000008335010|GO TO GROUND|Core – Battle Tactic Stratagem|1|Seeking salvation from incoming fire, warriors hurl themselves into whatever cover they can find.|Opponent’s turn|Shooting phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="kwb">INFANTRY</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, all models in your unit have a 6+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> and have the <a href="/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover">Benefit of Cover</a>.|
|000008335004|EPIC CHALLENGE|Core – Epic Deed Stratagem|1|The legends of the 41st Millennium are replete with deadly duels between mighty champions.|Either player’s turn|Fight phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a <span class="kwb">CHARACTER</span> unit from your army that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Attached units</a> is selected to fight.<br><br><b>TARGET:</b> One <span class="kwb">CHARACTER</span> model in your unit.<br><br><b>EFFECT:</b> Until the end of the phase, all melee attacks made by that model have the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Precision">[PRECISION]</a></span> ability.|
|000008335005|INSANE BRAVERY|Core – Epic Deed Stratagem|1|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase||<b>WHEN:</b> Battle-shock step of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, just before you take a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a> for a unit from your army.<br><br><b>TARGET:</b> A unit from your army that must take a Battle-shock test.<br><br><b>EFFECT:</b> Your unit automatically passes that Battle-shock test.<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem more than once per battle.|
|000008335003|COUNTER-OFFENSIVE|Core – Strategic Ploy Stratagem|2|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either player’s turn|Fight phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has fought.<br><br><b>TARGET:</b> One unit from your army that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units and that has not already been selected to fight this phase.<br><br><b>EFFECT:</b> Your unit fights next.|
|000008335012|HEROIC INTERVENTION|Core – Strategic Ploy Stratagem|2|Voices raised in furious war cries, your warriors surge forth to meet the enemy’s onslaught head-on.|Opponent’s turn|Charge phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, just after an enemy unit ends a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge move</a>.<br><br><b>TARGET:</b> One unit from your army that is within 6" of that enemy unit and would be eligible to declare a charge against that enemy unit if it were your Charge phase.<br><br><b>EFFECT:</b> Your unit now declares a charge that targets only that enemy unit, and you resolve that charge as if it were your Charge phase.<br><br><b>RESTRICTIONS:</b> You can only select a <span class="kwb">VEHICLE</span> unit from your army if it is a <span class="kwb">WALKER</span>. Note that even if this charge is successful, your unit does not receive any <a href="/wh40k10ed/the-rules/core-rules/#Charge-Bonus">Charge bonus</a> this turn.|
|000008335007|TANK SHOCK|Core – Strategic Ploy Stratagem|1|Ramming the foe with a speeding vehicle may be an unsubtle tactic, but it is a murderously effective one.|Your turn|Charge phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>.<br><br><b>TARGET:</b> One <span class="kwb">VEHICLE</span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, after your unit ends a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge move</a>, select one enemy unit within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of it, then select one melee weapon your unit is equipped with. Roll a number of D6 equal to that weapon’s Strength characteristic. If that Strength characteristic is greater than that enemy unit’s Toughness characteristic, roll two additional D6. For each 5+, that enemy unit suffers 1 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> (to a maximum of 6 mortal wounds).|
|000008335008|RAPID INGRESS|Core – Strategic Ploy Stratagem|1|Be it cunning strategy, potent technology or supernatural ritual, there are many means by which a commander may hasten their warriors’ onset.|Opponent’s turn|Movement phase||<b>WHEN:</b> End of your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>.<br><br><b>TARGET:</b> One unit from your army that is in <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reserves</a>.<br><br><b>EFFECT:</b> Your unit can arrive on the battlefield as if it were the <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements step</a> of your Movement phase, and if every model in that unit has the <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Deep Strike</a> ability, you can set that unit up as described in the Deep Strike ability (even though it is not your Movement phase).<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem to enable a unit to arrive on the battlefield during a <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a> it would not normally be able to do so in.|
|000008335009|FIRE OVERWATCH|Core – Strategic Ploy Stratagem|1|A hail of wildfire can drive back advancing foes.|Opponent’s turn|Movement or Charge phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement</a> or <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, just after an enemy unit is set up or when an enemy unit starts or ends a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal</a>, <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance</a>, <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fall Back</a> or <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge move</a>.<br><br><b>TARGET:</b> One unit from your army that is within 24" of that enemy unit and that would be eligible to shoot if it were your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>EFFECT:</b> If that enemy <a href="/wh40k10ed/the-rules/core-rules/#Unit-Visible">unit is visible</a> to your unit, your unit can shoot that enemy unit as if it were your Shooting phase.<br><br><b>RESTRICTIONS:</b> You cannot target a <span class="kwb">TITANIC</span> unit with this Stratagem. Until the end of the phase, each time a model in your unit makes a ranged attack, an unmodified <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> of 6 is required to score a hit, irrespective of the attacking weapon’s Ballistic Skill or any modifiers. You can only use this Stratagem once per turn.|
|000008335011|SMOKESCREEN|Core – Wargear Stratagem|1|Even the most skilled marksmen struggle to hit targets veiled by billowing screens of smoke.|Opponent’s turn|Shooting phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="kwb">SMOKE</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, all models in your unit have the <a href="/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover">Benefit of Cover</a> and the <a href="/wh40k10ed/the-rules/core-rules/#_STEALTH">Stealth</a> ability.|
|000008335006|GRENADE|Core – Wargear Stratagem|1|Priming their hand-held projectiles, these warriors draw back and hurl death into the enemy’s midst.|Your turn|Shooting phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class="kwb">GRENADES</span> unit from your army that is not within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy units and has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Select one enemy unit that is not within Engagement Range of any units from your army and is within 8" of and visible to your <span class="kwb">GRENADES</span> unit. Roll six D6: for each 4+, that enemy unit suffers 1 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
|000008539002|NEW ORDERS|Core Stratagem – Strategic Ploy Stratagem|1|High command has received new intelligence.|Your turn|Command phase||<b>WHEN:</b> End of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>.<br><br><b>TARGET:</b> One of your active Secondary Mission cards.<br><br><b>EFFECT:</b> Discard it and draw one new Secondary Mission card.<br><br><b>RESTRICTIONS:</b> You can only use this Stratagem once per battle.<br>|
AC|000008931002|SLAYER OF CHAMPIONS|Auric Champions – Epic Deed Stratagem|1|Whatfoe can withstand a warrior who has so tested the defences of the Throneworld itself?|Either player’s turn|Any phase|Auric Champions|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> unit from your army that has just <a href="/wh40k10ed/the-rules/core-rules/#Destroyed">destroyed</a> the unit you selected at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> as the target of your <span class="tooltip00594" data-tooltip-content="#tooltip_content00594"><span class="tt kwbu">Assemblage</span> <span class="tt kwbu">of</span> <span class="tt kwbu">Might</span></span> ability.<br><br><b>EFFECT:</b> Select one enemy unit on the battlefield Until the start of your next Command phase, each time an <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span> model from your army makes an attack that target that enemy unit, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> In addition, if the destroyed unit was a <span class="kwb">CHARACTER</span> unit, gain ICP.|
AC|000008931003|SUPERHUMAN RESERVES|Auric Champions – Epic Deed Stratagem|2|With practiced ease, the Talons of the Emperor establish vicious crossfires to cut the foe apart.|Either player’s turn|Any phase|Auric Champions|<b>WHEN:</b> Any phase, just after an <span class="tooltip00238" data-tooltip-content="#tooltip_content00238" data-tooltip-anchor="#tooltip_content00238"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">WARLORD</span></span> model from your army has used an ability on its datasheet or from an Enhancement that says it can only be used Once per battle’<br><br><b>TARGET:</b> That <span class="tooltip00347" data-tooltip-content="#tooltip_content00347" data-tooltip-anchor="#tooltip_content00347"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">WARLORD</span></span> model<br><br><b>EFFECT:</b> Your model can use its Once per battle’ ability one additional time during this battle (but not in the same phase)<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem more than once per battle|
AC|000008931004|THE EMPEROR’S AUSPICE|Auric Champions – Epic Deed Stratagem|1|In an age plagued by monsters, when primordial horrors from the darkest void circle Humanity's dying light, still the Adeptus Custodes stand strong|Either player’s turn|Shooting or Fight phase|Auric Champions|<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, <span class="kwb">CHARACTER</span> models in your unit have the <span class="tooltip00027" data-tooltip-content="#tooltip_content00027"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">4+</span></span> ability|
AC|000008931005|EARNING OF A NAME|Auric Champions – Epic Deed Stratagem|1|To lay low the greatest and most terrible monsters and heretics is to earn new names for a Custodian's mighty tally.|Either player’s turn|Fight phase|Auric Champions|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a><br><br><b>TARGET:</b> Up to two <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> units from your army that have not been selected to fight this phase<br><br><b>EFFECT:</b> Until the end of the phase, each time a <span class="kwb">CHARACTER</span> model in either of your units makes an attack that targets a <span class="kwb">MONSTER</span> or <span class="kwb">VEHICLE</span> unit, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> and you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>.|
