datasheet_id|stratagem_id|
000000001|000008335005|
000000001|000008335003|
000000001|000008366005|
000000001|000008335010|
000000001|000008335008|
000000001|000008366006|
000000001|000008335002|
000000001|000008335004|
000000001|000008366003|
000000001|000008335006|
000000001|000008335012|
000000001|000008366004|
000000001|000008366007|
000000001|000008335009|
000000002|000008335005|
000000002|000008335008|
000000002|000008335009|
000000002|000008366005|
000000002|000008366004|
000000002|000008335003|
000000002|000008366003|
000000002|000008335002|
000000002|000008366007|
000000002|000008335004|
000000002|000008366006|
000000002|000008335012|
000000002|000008335010|
000000003|000008335003|
000000003|000008873007|
000000003|000008873006|
000000003|000008873005|
000000003|000008335009|
000000003|000008335012|
000000003|000008366003|
000000003|000008873004|
000000003|000008366004|
000000003|000008335005|
000000003|000008335008|
000000003|000008873002|
000000003|000008335004|
000000003|000008335002|
000000003|000008873003|
000000003|000008366005|
000000003|000008335006|
000000004|000008335010|
000000004|000008335004|
000000004|000008335003|
000000004|000008335002|
000000004|000008335008|
000000004|000008366007|
000000004|000008335005|
000000004|000008366004|
000000004|000008366006|
000000004|000008335012|
000000004|000008335009|
000000004|000008366005|
000000004|000008366003|
000000006|000008878004|
000000006|000008366005|
000000006|000008335003|
000000006|000008335009|
000000006|000008335005|
000000006|000008366007|
000000006|000008366004|
000000006|000008335002|
000000006|000008366003|
000000006|000008335012|
000000006|000008335010|
000000006|000008335004|
000000006|000008366006|
000000006|000008335008|
000000007|000008366005|
000000007|000008366003|
000000007|000008335006|
000000007|000008335009|
000000007|000008873004|
000000007|000008335008|
000000007|000008335005|
000000007|000008873002|
000000007|000008873003|
000000007|000008366004|
000000007|000008335004|
000000007|000008335002|
000000007|000008873006|
000000007|000008335003|
000000007|000008873005|
000000007|000008335012|
000000007|000008873007|
000000008|000008335009|
000000008|000008366007|
000000008|000008335003|
000000008|000008335002|
000000008|000008335005|
000000008|000008366004|
000000008|000008335012|
000000008|000008335008|
000000008|000008366003|
000000008|000008335004|
000000008|000008366005|
000000008|000008366006|
000000008|000008335010|
000000009|000008366003|
000000009|000008335012|
000000009|000008335004|
000000009|000008335005|
000000009|000008335010|
000000009|000008366005|
000000009|000008335003|
000000009|000008335002|
000000009|000008335008|
000000009|000008366006|
000000009|000008335009|
000000009|000008366004|
000000009|000008366007|
000000010|000008335012|
000000010|000008366004|
000000010|000008335003|
000000010|000008335004|
000000010|000008335009|
000000010|000008366005|
000000010|000008335008|
000000010|000008366003|
000000010|000008335005|
000000010|000008366007|
000000010|000008366006|
000000010|000008335010|
000000010|000008335002|
000000011|000008335010|
000000011|000008366003|
000000011|000008366005|
000000011|000008335004|
000000011|000008335002|
000000011|000008366007|
000000011|000008335009|
000000011|000008366004|
000000011|000008335005|
000000011|000008335008|
000000011|000008366006|
000000011|000008335003|
000000011|000008335012|
000000011|000008335006|
000000011|000008335011|
000000012|000008366003|
000000012|000008335012|
000000012|000008366007|
000000012|000008366004|
000000012|000008335005|
000000012|000008366006|
000000012|000008335004|
000000012|000008878004|
000000012|000008335008|
000000012|000008335009|
000000012|000008366005|
000000012|000008335002|
000000012|000008335010|
000000012|000008335003|
000000013|000008335010|
000000013|000008335012|
000000013|000008366007|
000000013|000008366003|
000000013|000008335002|
000000013|000008335008|
000000013|000008366006|
000000013|000008366004|
000000013|000008335004|
000000013|000008366005|
000000013|000008335005|
000000013|000008335003|
000000014|000008873005|
000000014|000008335004|
000000014|000008366004|
000000014|000008873003|
000000014|000008366003|
000000014|000008335008|
000000014|000008873006|
000000014|000008366005|
000000014|000008335005|
000000014|000008873002|
000000014|000008873007|
000000014|000008335002|
000000014|000008335012|
000000014|000008335009|
000000014|000008873004|
000000014|000008335003|
000000015|000008366003|
000000015|000008366006|
000000015|000008335003|
000000015|000008335012|
000000015|000008335008|
000000015|000008366004|
000000015|000008335002|
000000015|000008335009|
000000015|000008335005|
000000015|000008366005|
000000015|000008335010|
000000015|000008366007|
000000015|000008335004|
000000016|000008366003|
000000016|000008335005|
000000016|000008335002|
000000016|000008335012|
000000016|000008366006|
000000016|000008335003|
000000016|000008366005|
000000016|000008335008|
000000016|000008366004|
000000016|000008882007|
000000016|000008882006|
000000016|000008882005|
000000016|000008882004|
000000016|000008882003|
000000016|000008366007|
000000016|000008335006|
000000016|000008882002|
000000016|000008335009|
000000016|000008335010|
000000017|000008878006|
000000017|000008335008|
000000017|000008335012|
000000017|000008335005|
000000017|000008366006|
000000017|000008366003|
000000017|000008335009|
000000017|000008335010|
000000017|000008366004|
000000017|000008335002|
000000017|000008335003|
000000017|000008366007|
000000019|000008335005|
000000019|000008366003|
000000019|000008335009|
000000019|000008335012|
000000019|000008366005|
000000019|000008366006|
000000019|000008335010|
000000019|000008366004|
000000019|000008335008|
000000019|000008335003|
000000019|000008366007|
000000019|000008335002|
000000020|000008335012|
000000020|000008335009|
000000020|000008335002|
000000020|000008366006|
000000020|000008335005|
000000020|000008335003|
000000020|000008335008|
000000020|000008366003|
