datasheet_id|line|ability_id|model|name|description|type|parameter|
000000001|1|000008346||||Core||
000000001|2|000003676||||Faction||
000000001|3|||Might is Right|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000001|4|||Da Biggest and da Best|While the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, add 4 to the Attacks characteristic of this model’s melee weapons.|Datasheet||
000000002|1|000008346||||Core||
000000002|2|000003676||||Faction||
000000002|3|||Might is Right|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000002|4|||Dead Brutal|While the <span class="tooltip00373" data-tooltip-content="#tooltip_content00373"><span class="tt kwbu">Waaagh!</span></span> is active for your army, this model’s ’uge choppa has a Damage characteristic of 3.|Datasheet||
000000003|1|000008346||||Core||
000000003|2|000003676||||Faction||
000000003|3|||Speedboss|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|Datasheet||
000000003|4|||High-octane Fuel|Each time this model’s unit <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advances</a>, do not make an Advance roll for it. Instead, until the end of the phase, add 6" to the Move characteristic of models in this model’s unit.|Datasheet||
000000004|1|000008339||||Core|D3|
000000004|2|000008346||||Core||
000000004|3|000003676||||Faction||
000000004|4|||Waaagh! Energy|While this model is leading a unit, add 1 to the Strength and Damage characteristics of this model’s ’Eadbanger weapon for every 5 models in that unit (rounding down), but while that unit contains 10 or more models, that weapon has the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Hazardous">[HAZARDOUS]</a></span> ability.|Datasheet||
