datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|
000000001|1|Warboss|6"|5|4+|5||6|6+|1|40mm||
000000002|1|Warboss In Mega Armour|5"|6|2+|5||7|6+|1|50mm||
000000003|1|Warboss On Warbike|12"|6|4+|5||7|6+|2|100 x 40mm||
000000004|1|Weirdboy|6"|5|5+|-||4|7+|1|40mm||
000000006|1|Big Mek In Mega Armour|5"|6|2+|-||5|7+|1|40mm||
000000007|1|Big Mek On Warbike|12"|6|4+|6||6|7+|2|90 x 52mm||
000000008|1|GHAZGHKULL THRAKA|5"|6|2+|4||10|6+|4|80mm||
000000008|2|MAKARI|5"|6|7+|2|You cannot re-roll invulnerable saving throws made for this model.|1|8+|1|25mm||
000000009|1|Kaptin Badrukk|6"|5|3+|4||6|7+|1|40mm||
000000010|1|Boss Zagstruk|12"|5|4+|5||6|6+|1|40mm||
000000011|1|Boss Snikrot|6"|5|5+|5||6|6+|1|40mm||
000000012|1|Mek|6"|5|5+|-||4|7+|1|32mm||
000000013|1|Painboy|6"|5|5+|-||3|7+|1|32mm||
000000014|1|Painboy On Warbike|12"|6|4+|6||4|7+|2|90 x 52mm||
000000015|1|Mad Dok Grotsnik|6"|5|5+|5||4|7+|1|32mm||
000000016|1|BOY|6"|5|5+|-||1|7+|2|32mm||
000000016|2|BOSS NOB|6"|5|5+|-||2|7+|2|32mm||
000000017|1|GRETCHIN|6"|2|7+|-||1|8+|2|25mm||
000000017|2|RUNTHERD|6"|5*|5+|-||2|7+|1|32mm||
000000019|1|Burna Boyz|6"|5|5+|-||1|7+|1|32mm||
000000020|1|TANKBUSTAS|6"|5|4+|-||2|7+|1|32mm|Nob on 40mm|
000000021|1|Nobz|6"|5|4+|-||2|7+|1|32mm||
000000022|1|Nob With Waaagh! Banner|6"|5|4+|-||3|7+|1|32mm||
000000023|1|Nobz On Warbikes|12"|6|4+|6||4|7+|2|75 x 42mm||
000000024|1|Meganobz|5"|6|2+|-||3|7+|1|40mm||
000000025|1|KOMMANDOS|6"|5|5+|-||1|7+|1|32mm||
000000025|2|BOSS NOB|6"|5|5+|-||2|7+|1|32mm||
000000026|1|Trukk|12"|8|4+|6||10|7+|2|Use model||
000000027|1|STORMBOY|12"|5|5+|-||1|7+|1|32mm||
000000027|2|BOSS NOB|12"|5|5+|-||2|7+|1|32mm||
000000028|1|Deffkoptas|12"|6|4+|6||4|7+|2|75 x 42mm||
000000029|1|Dakkajet|20+"|9|3+|6||12|7+|0|120 x 92mm flying base||
000000030|1|Burna-bommer|20+"|9|3+|6||12|7+|0|120 x 92mm flying base||
000000031|1|Blitza-bommer|20+"|9|3+|6||12|7+|0|120 x 92mm flying base||
000000032|1|Wazbom Blastajet|20+"|9|3+|6||12|7+|0|120 x 92mm flying base||
000000033|1|WARBIKER|12"|6|4+|6||3|7+|2|75 x 42mm||
000000033|2|BOSS NOB ON WARBIKE|12"|6|4+|6||4|7+|2|75 x 42mm||
000000034|1|Wartrakks|12"|6|4+|6||6|7+|2|Use model||
000000035|1|Skorchas|12"|6|4+|6||6|7+|2|Use model||
000000036|1|Warbuggies|12"|6|4+|6||6|7+|2|Use model||
000000037|1|Big Gunz|3"|4|5+|6||3|8+|1|Use model||
000000038|1|Mek Gunz|3"|5|5+|6||6|8+|2|Use model||
000000039|1|Battlewagon|10"|10|3+|6||16|7+|5|Use model||
000000040|1|Deff Dread|8"|9|2+|6||8|7+|3|60mm||
