datasheet_id|line|description|cost|
000000001|1|1 model|75|
000000002|1|1 model|90|
000000003|1|1 model|75|
000000004|1|1 model|65|
000000006|1|1 model|90|
000000007|1|1 model|105|
000000008|1|2 models|235|
000000009|1|1 model|80|
000000010|1|1 model|90|
000000011|1|1 model|95|
000000012|1|1 model|45|
000000013|1|1 model|80|
000000014|1|1 model|85|
000000015|1|1 model|65|
000000016|1|10 models|80|
000000016|2|20 models|160|
000000017|1|11 models|40|
000000017|2|22 models|80|
000000019|1|1 Spanner and 4 Burna Boyz|60|
000000019|2|2 Spanners and 8 Burna Boyz|120|
000000020|1|6 models|120|
000000021|1|5 models|105|
000000021|2|10 models|210|
000000022|1|1 model|70|
000000023|1|3 models|125|
000000024|1|2 models|70|
000000024|2|3 models|105|
000000024|3|5 models|175|
000000024|4|6 models|210|
000000025|1|10 models|120|
000000026|1|1 model|65|
000000027|1|5 models|65|
000000027|2|10 models|130|
000000028|1|3 models|90|
000000028|2|6 models|180|
000000029|1|1 model|135|
000000030|1|1 model|125|
000000031|1|1 model|115|
000000032|1|1 model|175|
000000033|1|3 models|70|
000000033|2|6 models|140|
000000034|1|1 model|50|
000000034|2|2 models|100|
000000035|1|1 model|45|
000000035|2|2 models|90|
000000036|1|1 model|40|
000000036|2|2 models|80|
000000037|1|1 model|20|
000000037|2|2 models|40|
000000038|1|1 model|50|
000000038|2|2 models|100|
000000038|3|3 models|150|
000000039|1|1 model|160|
000000040|1|1 model|120|
000000041|1|3 models|125|
000000041|2|6 models|250|
000000042|1|1 model|280|
000000043|1|1 model|265|
000000044|1|1 Spanner and 4 Lootas|50|
000000044|2|2 Spanners and 8 Lootas|100|
000000045|1|5 models|80|
000000045|2|10 models|160|
000000046|1|1 model|800|
000000049|1|4 models|155|
000000049|2|8 models|310|
000000050|1|1 model|110|
000000051|1|1 model|150|
000000052|1|1 model|210|
000000053|1|1 model|135|
000000054|1|1 model|90|
000000055|1|1 model|115|
000000056|1|1 model|295|
000000057|1|1 model|105|
000000059|1|1 model|440|
000000060|1|1 model|70|
000000061|1|5 models|95|
000000061|2|10 models|190|
000000063|1|1 model|65|
000000064|1|5 models|115|
000000064|2|10 models|230|
000000065|1|1 model|240|
000000066|1|1 model|220|
000000067|1|1 model|310|
000000068|1|3 models|75|
000000070|1|10 models|140|
000000071|1|3 models|90|
000000071|2|6 models|180|
000000072|1|1 model|215|
000000073|1|1 model|80|
000000076|1|1 model|70|
000000079|1|1 model|75|
000000081|1|1 model|85|
000000083|1|1 model|85|
000000084|1|1 model|155|
000000085|1|1 model|95|
000000086|1|1 model|75|
000000086|2|2 models|150|
000000087|1|1 model|70|
000000091|1|1 model|130|
000000092|1|1 model|220|
000000093|1|1 model|385|
000000094|1|1 model|75|
000000095|1|4 models|155|
000000096|1|1 model|250|
000000097|1|1 model|175|
000000098|1|1 model|30|
000000098|2|2 models|60|
