datasheet_id|line|button|description|
000000001|1|•|This model’s big choppa can be replaced with 1 power klaw.|
000000001|2|•|This model can be equipped with 1 attack squig.|
000000003|1|•|This model’s killsaw can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 big choppa</li><li>1 power klaw</li></ul>|
000000006|1|•|This model’s kustom-mega blasta can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 killsaw</li><li>1 kombi-weapon</li><li>1 kustom shoota</li></ul>|
000000006|2|•|This model can be equipped with one of the following:<ul style="list-style-type:circle"><li>1 tellyport blasta</li><li>1 kustom force field</li></ul>|
000000006|3|•|This model can be equipped with 1 grot oiler.|
000000007|1|•|This model’s slugga can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 shokk attack gun</li><li>1 kustom force field</li><li>1 kombi-weapon</li><li>1 kustom mega-blasta</li><li>1 kustom mega-slugga</li><li>1 rokkit launcha</li><li>1 big choppa</li><li>1 power klaw</li></ul>|
000000007|2|•|This model’s choppa can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 kombi-weapon</li><li>1 kustom mega-blasta</li><li>1 kustom mega-slugga</li><li>1 rokkit launcha</li><li>1 big choppa</li><li>1 killsaw</li><li>1 power klaw</li></ul>|
000000009|1|•|None|
000000010|1|•|None|
000000012|1|•|This model’s wrench can be replaced with 1 killsaw.|
000000013|1|•|This model can be equipped with 1 grot orderly.|
000000014|1|•|This model’s power klaw can be replaced with 1 killsaw.|
000000015|1|•|None|
000000016|1|•|The Boss Nob’s big choppa can be replaced with 1 power klaw.|
000000016|2|•|The Boss Nob’s big choppa and slugga can be replaced with 1 kombi-weapon and 1 close combat weapon.|
000000016|3|•|Any number of Boyz can each have their slugga and choppa replaced with 1 shoota and 1 close combat weapon.|
000000016|4|•|For every 10 models in this unit, 1 Boy’s choppa and slugga can be replaced with one of the following:<ul style="list-style-type:circle"><li>1 big shoota and 1 close combat weapon</li><li>1 rokkit launcha and 1 close combat weapon</li></ul>|
000000019|1|•|Any number of Spanners can each have their big shoota replaced with one of the following:<ul style="list-style-type:circle"><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li></ul>|
