datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|
000000001|1|1||Kombi-weapon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|24|Ranged|1|5|4|0|1|
000000001|2|1||Twin slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|12|Ranged|2|5|4|0|1|
000000001|3|1||Attack squig|<a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>|Melee|Melee|2|4|4|0|1|
000000001|4|1||Big choppa||Melee|Melee|5|2|8|-1|2|
000000001|5|1||Power klaw||Melee|Melee|4|3|10|-2|2|
000000002|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|4|5|0|1|
000000002|2|1||’Uge choppa||Melee|Melee|4|2|12|-2|2|
000000003|1|1||Twin dakkagun|<a href="/wh40k10ed/the-rules/core-rules/#Assault">assault</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|18|Ranged|3|5|5|0|1|
000000003|2|1||Big choppa||Melee|Melee|5|2|8|-1|2|
000000003|3|1||Killsaw||Melee|Melee|3|4|12|-3|2|
000000003|4|1||Power klaw||Melee|Melee|4|3|10|-2|2|
000000004|1|1||’Eadbanger|<a href="/wh40k10ed/the-rules/core-rules/#Precision">precision</a>, <a href="/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities">psychic</a>|24|Ranged|1|4|6|-3|1|
000000004|2|1||Weirdboy staff|<a href="/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities">psychic</a>|Melee|Melee|3|3|8|-1|D3|
000000006|1|1||Kombi-weapon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|24|Ranged|1|5|4|0|1|
000000006|2|1||Kustom mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|24|Ranged|3|5|9|-2|D6|
000000006|3|1||Kustom shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|18|Ranged|4|5|4|0|1|
000000006|4|1||Tellyport blasta|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|12|Ranged|3|5|8|-1|3|
000000006|5|1||Killsaw||Melee|Melee|3|4|12|-3|2|
000000006|6|1||Power klaw||Melee|Melee|4|3|9|-2|2|
000000007|1|1||Kombi-weapon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|24|Ranged|1|5|4|0|1|
000000007|2|1||Kustom mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|24|Ranged|3|5|9|-2|D6|
000000007|3|1||Kustom mega-slugga|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|12|Ranged|D3|5|8|-2|D6|
000000007|4|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000007|5|1||Shokk attack gun|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>|60|Ranged|D6+1|5|9|-4|D6|
000000007|6|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000007|7|1||Twin dakkagun|<a href="/wh40k10ed/the-rules/core-rules/#Assault">assault</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|18|Ranged|3|5|5|0|1|
000000007|8|1||Big choppa||Melee|Melee|4|3|7|-1|2|
000000007|9|1||Choppa||Melee|Melee|4|3|5|-1|1|
000000007|10|1||Close combat weapon||Melee|Melee|4|3|5|0|1|
000000007|11|1||Killsaw||Melee|Melee|3|4|12|-3|2|
000000007|12|1||Power klaw||Melee|Melee|4|4|9|-2|2|
000000008|1|1||Mork’s Roar|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 4</a>|36|Ranged|12|5|5|0|1|
000000008|2|1||Gork’s Klaw - strike||Melee|Melee|6|2|14|-3|4|
000000008|3|2||Gork’s Klaw - sweep||Melee|Melee|12|2|8|-2|2|
000000008|4|1||Makari’s stabba|<a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>|Melee|Melee|1|4|3|0|1|
000000009|1|1||Da Rippa – standard|<a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>, <a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>|24|Ranged|3|5|7|-2|2|
000000009|2|2||Da Rippa – supercharge|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>, <a href="/wh40k10ed/the-rules/core-rules/#Heavy">heavy</a>, <a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>|24|Ranged|3|5|8|-3|3|
000000009|3|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|4|4|0|1|
000000009|4|1||Choppa||Melee|Melee|6|2|5|-1|1|
000000010|1|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000010|2|1||Da Vulcha’s Klaws and choppa||Melee|Melee|6|2|8|-2|2|
000000011|1|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|4|4|0|1|
000000011|2|1||Mork’s Teeth|<a href="/wh40k10ed/the-rules/core-rules/#Precision">precision</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|Melee|Melee|6|2|6|-1|2|
000000012|1|1||Kustom mega-slugga|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>, <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|12|Ranged|D3|5|8|-2|D6|
000000012|2|1||Killsaw||Melee|Melee|1|4|12|-3|2|
000000012|3|1||Wrench||Melee|Melee|3|3|4|0|1|
000000013|1|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000013|2|1||’Urty syringe|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>, <a href="/wh40k10ed/the-rules/core-rules/#Precision">precision</a>|Melee|Melee|1|3|2|0|1|
000000014|1|1||Twin dakkagun|<a href="/wh40k10ed/the-rules/core-rules/#Assault">assault</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>, <a href="/wh40k10ed/the-rules/core-rules/#Twin-linked">twin-linked</a>|18|Ranged|3|5|5|0|1|
000000014|2|1||Killsaw||Melee|Melee|2|4|12|-3|2|
000000014|3|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000014|4|1||’Urty syringe|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>, <a href="/wh40k10ed/the-rules/core-rules/#Precision">precision</a>|Melee|Melee|1|3|2|0|1|
000000015|1|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000015|2|1||Power klaw|<a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">sustained hits 1</a>|Melee|Melee|4|3|9|-2|2|
000000015|3|1||’Urty syringe|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Extra-Attacks">extra attacks</a>, <a href="/wh40k10ed/the-rules/core-rules/#Precision">precision</a>|Melee|Melee|1|3|2|0|1|
000000016|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|5|5|0|1|
000000016|2|1||Kombi-weapon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|24|Ranged|1|5|4|0|1|
000000016|3|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000016|4|1||Shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|18|Ranged|2|5|4|0|1|
000000016|5|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000016|6|1||Big choppa||Melee|Melee|3|3|7|-1|2|
000000016|7|1||Choppa||Melee|Melee|3|3|4|-1|1|
000000016|8|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
000000016|9|1||Power klaw||Melee|Melee|3|4|9|-2|2|
000000017|1|1||Grot blasta|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|4|3|0|1|
000000017|2|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000017|3|1||Close combat weapon||Melee|Melee|1|5|2|0|1|
000000017|4|1||Runtherd tools||Melee|Melee|3|3|5|0|1|
000000019|1|1||Big shoota|<a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 2</a>|36|Ranged|3|5|5|0|1|
000000019|2|1||Burna|<a href="/wh40k10ed/the-rules/core-rules/#Ignores-Cover">ignores cover</a>, <a href="/wh40k10ed/the-rules/core-rules/#Torrent">torrent</a>|12|Ranged|D6|N/A|4|0|1|
000000019|3|1||Kustom mega-blasta|<a href="/wh40k10ed/the-rules/core-rules/#Hazardous">hazardous</a>|24|Ranged|3|5|9|-2|D6|
000000019|4|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000019|5|1||Close combat weapon||Melee|Melee|3|3|4|0|1|
000000019|6|1||Cuttin’ flames||Melee|Melee|2|4|4|-2|1|
000000020|1|1||Rokkit launcha|<a href="/wh40k10ed/the-rules/core-rules/#Blast">blast</a>|24|Ranged|D3|5|9|-2|3|
000000020|2|1||Rokkit pistol|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|9|-2|3|
000000020|3|1||Choppa||Melee|Melee|4|3|5|-1|1|
000000020|4|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
000000020|5|1||Smash hammer|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-monster 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-vehicle 4+</a>|Melee|Melee|2|3|6|-2|3|
000000021|1|1||Kombi-weapon|<a href="/wh40k10ed/the-rules/core-rules/#Anti">anti-infantry 4+</a>, <a href="/wh40k10ed/the-rules/core-rules/#Devastating-Wounds">devastating wounds</a>, <a href="/wh40k10ed/the-rules/core-rules/#Rapid-Fire">rapid fire 1</a>|24|Ranged|1|5|4|0|1|
000000021|2|1||Slugga|<a href="/wh40k10ed/the-rules/core-rules/#Pistol">pistol</a>|12|Ranged|1|5|4|0|1|
000000021|3|1||Big choppa||Melee|Melee|3|3|7|-1|2|
000000021|4|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
