id|faction_id|name|legend|description|detachment|
000008393|AC|Martial Mastery|The Custodians have perfected countless ways of making war, be it on a personal, tactical or strategic scale.|At the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, you can select one of the bullet points below. If you do, until the start of the next battle round, that bullet point’s effects apply.<br><ul><li>Each time an <span class="tooltip00485" data-tooltip-content="#tooltip_content00485" data-tooltip-anchor="#tooltip_content00485"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model from your army with the <span class="tooltip00452" data-tooltip-content="#tooltip_content00452"><span class="tt kwbu">Martial</span> <span class="tt kwbu">Ka’tah</span></span> ability makes a melee attack, a successful unmodified <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 5+ scores a <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Critical</span> <span class="tt kwbu">Hit</span></span>.</li><li>Improve the Armour Penetration characteristic of melee weapons equipped by <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> models from your army with the Martial Ka’tah ability by 1.</li></ul>|Shield Host|
000008920|AC|Revered Companions|The Custodians and the Silent Sisters often fought as one during the earliest days of the Imperium. Ten thousand years on, they have lost none of the unity of doctrine and purpose that makes them such a deadly combination.|<span class="tooltip00487" data-tooltip-content="#tooltip_content00487" data-tooltip-anchor="#tooltip_content00487"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> units from your army gain the following the ability:<br><br><b>Null Aegis (Aura):</b> While an <span class="tooltip00485" data-tooltip-content="#tooltip_content00485" data-tooltip-anchor="#tooltip_content00485"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> unit is within 6" of this unit, models in that unit have the <span class="tooltip00078" data-tooltip-content="#tooltip_content00078"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability against <span class="tooltip00548" data-tooltip-content="#tooltip_content00548"><span class="tt kwbu">Psychic</span> <span class="tt kwbu">Attacks</span></span> and <span class="tooltip00045" data-tooltip-content="#tooltip_content00045"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>.<br><br>All other <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> units from your army gain the following ability:<br><br><b>Deadly Unity (Aura):</b> While an <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit is within 6" of this unit, each time a model in that <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit makes an attack, add 1 to the <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>.|Talons Of The Emperor|
000008924|AC|Creeping Dread (Aura)|The instinctive fear caused by the Pariah gene spreads like a terrible pall before the cadres of the Silent Sisterhood.|In the <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Battle-shock</span></span> step of your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if an enemy unit that is either a <span class="kwb">PSYKER</span> unit or below its <span class="tooltip00498" data-tooltip-content="#tooltip_content00498"><span class="tt kwbu">Starting</span> <span class="tt kwbu">Strength</span></span> is within 12" of one or more <span class="tooltip00487" data-tooltip-content="#tooltip_content00487" data-tooltip-anchor="#tooltip_content00487"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> models from your army, that enemy unit must take a <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">test</span></span>. If that unit is <span class="tooltip00499" data-tooltip-content="#tooltip_content00499"><span class="tt kwbu">Below</span> <span class="tt kwbu">Half-strength</span></span>, it must subtract 1 from its Battle-shock test this phase instead.<br><br><b>Designer’s Note:</b> <i>This means that all enemy <span class="kwb">PSYKER</span> units within range of this <span class="tooltip00530" data-tooltip-content="#tooltip_content00530"><span class="tt kwbu">Aura</span> <span class="tt kwbu">ability</span></span> and all enemy units within range of this Aura ability that have lost one or more models must take a Battle-shock test in your opponents Command phase, not just those that are Below Half-strength.</i>|Null Maiden Vigil|
000008925|AC|KEYWORDS||If you select this Detachment, <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Prosecutors"><span class="kwb kwbo">PROSECUTORS</span></a> units from your army have the <span class="kwb">BATTLELINE</span> keyword.|Null Maiden Vigil|
000008929|AC|Assemblage of Might|When such exceptional warriors as these gather to quest in the Emperors name, even the most dreadful foes of Humanity are right to fear for their lives.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponent’s army. Until the start of your next Command phase, each time a model in an <span class="tooltip00592" data-tooltip-content="#tooltip_content00592" data-tooltip-anchor="#tooltip_content00592"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">CHARACTER</span></span> unit from your army makes an attack that targets that enemy unit, add 1 to the <span class="tooltip00026" data-tooltip-content="#tooltip_content00026"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span>.|Auric Champions|
000008384|AdM|Rad-bombardment|Whether as a result of natural phenomena, apocalyptic internecine strife or calamitous accidents, many forge worlds are heavily irradiated. When holy wars of requisition are unleashed, the Tech-Priests think nothing of turning this invisible curse upon their foes, bombarding the battlefield with deadly radiation prior to an assault.|<div class="whiteDiamondLine">BATTLE ROUND<div class="whiteDiamondWrap"><div class="redDiamondSpan"><div class="whiteDiamondSpan"><div class="whiteDiamondText">1</div></div></div></div></div><span class="hi_custom">BOMBARDMENT</span><br>At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, for each enemy unit within your opponents deployment zone, your opponent must decide whether that unit will take cover or stand firm. You then roll one D6 for each of those enemy units and apply the relevant result below:<br><ul><li><b>Unit Standing Firm:</b> On a 3+, that unit suffers D3 <span class="tooltip00045" data-tooltip-content="#tooltip_content00045"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>.</li><li><b>Unit Taking Cover:</b> Until the end of the battle round, that unit is <span class="tooltip00012" data-tooltip-content="#tooltip_content00012"><span class="tt kwbu">Battle-shocked</span></span> and, on a 5+, that unit suffers D3 mortal wounds.</li></ul><br><div class="whiteDiamondLine">BATTLE ROUND<div class="whiteDiamondWrap"><div class="redDiamondSpan"><div class="whiteDiamondSpan"><div class="whiteDiamondText">2</div></div></div></div>     &emsp;&emsp;&nbsp;&nbsp;&nbsp;&nbsp;ONWARDS</div><span class="hi_custom">FALLOUT</span><br>At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> during the second, third, fourth and fifth battle rounds, roll one D6 for each enemy unit within your opponent’s deployment zone. On a 3+, that unit suffers 1 mortal wound and must take a Battle-shock test.|Rad-Zone Corps|
000008559|AdM|Stealth Optimisation|Hunter Cohorts combine a mastery of stealth warfare and cogitational analysis with stealth screen projectors and target-fouling apparatuses. They are elusive foes to face, and especially sinister to those they have designated as prey.|<span class="tooltip00295" data-tooltip-content="#tooltip_content00295" data-tooltip-anchor="#tooltip_content00295"><span class="kwb kwbu">SKITARII</span> <span class="kwb kwbu">INFANTRY</span></span>, <span class="tooltip00593" data-tooltip-content="#tooltip_content00593" data-tooltip-anchor="#tooltip_content00593"><span class="kwb kwbu">SKITARII</span> <span class="kwb kwbu">MOUNTED</span></span> and <a class="kwbOne" href="/wh40k10ed/factions/adeptus-mechanicus/Ironstrider-Ballistarii"><span class="kwb kwbo">IRONSTRIDER</span> <span class="kwb kwbo">BALLISTARII</span></a> units from your army have the <span class="tooltip00500" data-tooltip-content="#tooltip_content00500"><span class="tt kwbu">Stealth</span></span> ability, and each time a ranged attack targets a <span class="tooltip00594" data-tooltip-content="#tooltip_content00594" data-tooltip-anchor="#tooltip_content00594"><span class="kwb kwbu">SICARIAN</span></span> unit from your army, unless the attacking model is within 12", the target has the <span class="tooltip00052" data-tooltip-content="#tooltip_content00052"><span class="tt kwbu">Benefit</span> <span class="tt kwbu">of</span> <span class="tt kwbu">Cover</span></span> against that attack.|Skitarii Hunter Cohort|
000008563|AdM|Benedictions Of The Omnissiah|The Tech-Priests of the Omnissiah lead their disciples in a cortege of war. The buzz of static psalms chanted in synchronicity unites all in the stately eradication of the heretic and blasphemer.|At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, select one of the following Benedictions of the Omnissiah to be active for <span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">CULT</span> <span class="kwb kwbu">MECHANICUS</span></span> units from your army until the end of the battle:<br><br><span class="hi_custom">Panegyric Procession</span><br>Each time a <span class="kwb">CULT</span> <span class="kwb">MECHANICUS</span> model from your army makes a ranged attack that targets a unit within half range, improve the Armour Penetration characteristic of that attack by 1.<br><br><span class="hi_custom">Citation in Savagery</span><br>Each time a <span class="kwb">CULT</span> <span class="kwb">MECHANICUS</span> unit from your army is selected to fight, if that unit made a <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">Charge</span> <span class="tt kwbu">move</span></span> this turn, until the end of the phase, add 1 to the Strength and Attacks characteristics of melee weapons equipped by models in that unit.|Data-Psalm Conclave|
000008567|AdM|Acquisition At Any Cost|In their eternal quest for the acquisition of knowledge and technology, Tech-Priests require superhuman efforts from the troops under their command.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one <span class="tooltip00100" data-tooltip-content="#tooltip_content00100"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span>. Until the start of your next Command phase, that objective marker is your Acquisition objective marker. Each time an <span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model from your army makes an attack, if that model’s unit is within range of your Acquisition objective marker, or if the target of that attack is within range of your Acquisition objective marker, re-roll a <span class="tooltip00026" data-tooltip-content="#tooltip_content00026"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> of 1.|Explorator Maniple|
000008571|AdM|Cyber-Psalm Programming|In advance of a Cohort Cyberneticas battles, the Legios most talented Datasmiths will feed dogmatic auto-scripture into the programming cores of their robotic charges, as well as oracular schematics and tactical hymnals that delineate the strategy to come. So blessed, the Cohorts robots add their own grinding chants of static to a systematic chorus of praise in the Omnissiah’s name.|<span class="tooltip00495" data-tooltip-content="#tooltip_content00495" data-tooltip-anchor="#tooltip_content00495"><span class="kwb kwbu">LEGIO</span> <span class="kwb kwbu">CYBERNETICA</span></span> units from your army gain the <span class="tooltip00595" data-tooltip-content="#tooltip_content00595"><span class="tt kwbu">Doctrina</span> <span class="tt kwbu">Imperatives</span></span> army rule |Cohort Cybernetica|
000008447|AE|Unparalleled Foresight|When the Aeldari take to the battlefield, any who oppose them are left confounded by their grace, elegance and martial skill. Where lesser beings would falter, the Aeldari move with a surety of purpose that can only be perceived as preordained.|Each time an <span class="kwb">AELDARI</span> unit from your army is selected to shoot or fight, you can re-roll one <span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> and you can re-roll one <span class="tooltip00026" data-tooltip-content="#tooltip_content00026"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> when resolving those attacks.|Battle Host|
000008379|AM|Born Soldiers|Regiments of numerous origins and tactical roles inculcate their soldiers from an early age with the legendary doctrines of the Tactica Imperium. Infantry and tank crews are drilled in close-range fire patterns in the expectation of being thrust into the front lines.|Each time a model in a <span class="tooltip00417" data-tooltip-content="#tooltip_content00417" data-tooltip-anchor="#tooltip_content00417"><span class="kwb kwbu">REGIMENT</span></span> unit from your army makes a ranged attack that targets a <a href="/wh40k10ed/the-rules/core-rules/#Determining-Visibility">visible</a> unit (excluding <span class="kwb">MONSTERS</span> and <span class="kwb">VEHICLES</span>), that attack has the <span class="kwb2 bluefont"><span class="tooltip00275" data-tooltip-content="#tooltip_content00275"><span class="tt kwbu">[LETHAL</span> <span class="tt kwbu">HITS]</span></span></span> ability. <br><br>Each time a model in a <span class="tooltip00415" data-tooltip-content="#tooltip_content00415" data-tooltip-anchor="#tooltip_content00415"><span class="kwb kwbu">SQUADRON</span></span> unit from your army makes a ranged attack that targets a visible <span class="kwb">MONSTER</span> or <span class="kwb">VEHICLE</span> unit, that attack has the <span class="kwb2 bluefont"><span class="tooltip00275" data-tooltip-content="#tooltip_content00275"><span class="tt kwbu">[LETHAL</span> <span class="tt kwbu">HITS]</span></span></span> ability.|Combined Regiment|
0000009125|AoI|Deathwatch Mission Tactics|Thousands of years of collated strategic data and hard-won combat experience have provided the Deathwatch with the ultimate battlefield tactics to combat almost any foe.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, you can select one of the Mission Tactics listed below. Until the start of your next Command phase, that Mission Tactic is active and its effects apply to all <span class="tooltip00597" data-tooltip-content="#tooltip_content00597" data-tooltip-anchor="#tooltip_content00597"><span class="kwb kwbu">DEATHWATCH</span></span> units from your army. Each Mission Tactic can only be selected once per battle.<div style="height:8px"></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Furor Tactics</p><p class="ShowFluff legend2">The warriors of the Deathwatch are often sorely outnumbered by swarming foes, yet by striking for maximum indiscriminate carnage they soon even the odds.</p><p>While this Mission Tactic is active, weapons equipped by <span class="tooltip00597" data-tooltip-content="#tooltip_content00597" data-tooltip-anchor="#tooltip_content00597"><span class="kwb kwbu">DEATHWATCH</span></span> units from your army have the <span class="kwb2 bluefont"><span class="tooltip00014" data-tooltip-content="#tooltip_content00014"><span class="tt kwbu">[SUSTAINED</span> <span class="tt kwbu">HITS</span> <span class="tt kwbu">1]</span></span></span> ability.</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Malleus Tactics</p><p class="ShowFluff legend2">Even the largest behemoth has a weak point, and the Deathwatch find them all.</p><p>While this Mission Tactic is active, weapons equipped by <span class="tooltip00597" data-tooltip-content="#tooltip_content00597" data-tooltip-anchor="#tooltip_content00597"><span class="kwb kwbu">DEATHWATCH</span></span> units from your army have the <span class="kwb2 bluefont"><span class="tooltip00275" data-tooltip-content="#tooltip_content00275"><span class="tt kwbu">[LETHAL</span> <span class="tt kwbu">HITS]</span></span></span> ability.</p></td></tr></tbody></tbody></table></div><div class="BreakInsideAvoid"><table max-width="480px" border="0" cellpadding="3" style="border-width:0px"><tbody><tbody><tr><td><p style="display:block" class="impact18">Purgatus Tactics</p><p class="ShowFluff legend2">Adopting Purgatus tactics, the Deathwatch focus their ire upon the commanders of the enemy host.</p><p>While this Mission Tactic is active, each time a <span class="tooltip00597" data-tooltip-content="#tooltip_content00597" data-tooltip-anchor="#tooltip_content00597"><span class="kwb kwbu">DEATHWATCH</span></span> model from your army makes an attack, on a <span class="tooltip00026" data-tooltip-content="#tooltip_content00026"><span class="tt kwbu">Critical</span> <span class="tt kwbu">Wound</span></span>, that attack has the <span class="kwb2 bluefont"><span class="tooltip00057" data-tooltip-content="#tooltip_content00057"><span class="tt kwbu">[PRECISION]</span></span></span> ability.</p></td></tr></tbody></tbody></table></div>|Ordo Xenos Alien Hunters|
000009129|AoI|Root out Heresy|No matter how cunningly their heretical prey hides, they cannot escape the zealous retribution of the Ordo Hereticus.|Ranged weapons equipped by <span class="tooltip00511" data-tooltip-content="#tooltip_content00511" data-tooltip-anchor="#tooltip_content00511"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">ARBITES</span></span>, <span class="tooltip00310" data-tooltip-content="#tooltip_content00310" data-tooltip-anchor="#tooltip_content00310"><span class="kwb kwbu">INQUISITOR</span></span>, <a class="kwbOne" href="/wh40k10ed/factions/imperial-agents/Inquisitorial-Agents"><span class="kwb kwbo">INQUISITORIAL</span> <span class="kwb kwbo">AGENTS</span></a> and <span class="tooltip00598" data-tooltip-content="#tooltip_content00598" data-tooltip-anchor="#tooltip_content00598"><span class="kwb kwbu">ORDO</span> <span class="kwb kwbu">HERETICUS</span></span> models from your army have the <span class="kwb2 bluefont"><span class="tooltip00489" data-tooltip-content="#tooltip_content00489"><span class="tt kwbu">[IGNORES</span> <span class="tt kwbu">COvER]</span></span></span> ability.<br><br>Each time an <span class="kwb">ADEPTUS</span> <span class="kwb">ARBITES</span>, <span class="kwb">INQUISITOR</span>, <span class="kwb">INQUISITORIAL</span> <span class="kwb">AGENTS</span> or <span class="kwb">ORDO</span> <span class="kwb">HERETICUS</span> model from your army makes an attack that targets a <span class="kwb">CHAOS</span> unit containing 5 or more models, that attack has the <span class="kwb2 bluefont"><span class="tooltip00014" data-tooltip-content="#tooltip_content00014"><span class="tt kwbu">[SUSTAINED</span> <span class="tt kwbu">HITS</span> <span class="tt kwbu">1]</span></span></span> ability.|Ordo Hereticus Purgation Force|
