id|faction_id|name|cost|detachment|legend|description|
000008926002|AC|Enhanced Voidsheen Cloak|10|Null Maiden Vigil|Now rare, enhanced voidsheen cloaks were worn by commanders of the Sisters of Silence during the Great Crusade. They are made from micro-vitrious mesh designed to diffract and absorb attacks, and include inbuilt refractor fields.|<span class="tooltip00624" data-tooltip-content="#tooltip_content00624" data-tooltip-anchor="#tooltip_content00624"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. Each time an attack is allocated to the bearer, subtract 1 from the Damage characteristic of that attack. If that attack was made by a <span class="kwb">PSYKER</span> or <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">Battle-shocked</span></span> model, change the Damage characteristic of that attack to 1 instead.|
000008921002|AC|Aegis Projector|20|Talons Of The Emperor|This archeotech field projector triggers in response to autopremonitory danger input. It pulse-casts a temporary force field that can stave off even the most powerful attacks, before charging ready for another use.|<span class="tooltip00625" data-tooltip-content="#tooltip_content00625" data-tooltip-anchor="#tooltip_content00625"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Once per turn, the first time a <span class="tooltip00024" data-tooltip-content="#tooltip_content00024"><span class="tt kwbu">saving</span> <span class="tt kwbu">throw</span></span> is failed for the bearer’s unit, change the Damage characteristic of that attack to 0.|
000009273002|AC|The Vratine Aquila (Aura)|0|Black Ship Guardians|This ancient device is said to have been crafted for use during a vital conclave during the waning days of the Great Crusade, wreathing its bearer in energy veils.|<span class="tooltip01080" data-tooltip-content="#tooltip_content01080" data-tooltip-anchor="#tooltip_content01080"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. While a friendly <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit is within 3" of the bearer, models in that unit have a 4+ <span class="tooltip00009" data-tooltip-content="#tooltip_content00009"><span class="tt kwbu">invulnerable</span> <span class="tt kwbu">save</span></span>.|
000008395002|AC|Auric Mantle|15|Shield Host|This auramite weave garment is draped about its wearers shoulders before they don their battle armour. It forms a final, incredibly resilient layer of protection for them should all their other defences fail.|<span class="tooltip00627" data-tooltip-content="#tooltip_content00627" data-tooltip-anchor="#tooltip_content00627"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> or <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Blade-Champion"><span class="kwb kwbo">BLADE</span> <span class="kwb kwbo">CHAMPION</span></a> model only. Add 2 to the bearer’s Wounds characteristic.|
000009753002|AC|Adamantine Talisman|25|Solar Spearhead|This amulet contains a reservoir of promethium harvested from the wreckage of one of the Adeptus Custodes’ most ancient Land Raiders. The fluid is said to possess the last lingering traces of that ancient vehicle’s bellicose machine spirit, inspiring greater might and ferocity within its bearer.|<span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> model only. Improve the Attacks, Strength and Damage characteristics of melee weapons equipped by the bearer by 1.|
000008930002|AC|Blade Imperator|25|Auric Champions|This warrior is the Emperors own wrath made manifest, the living weapon of the Master of Mankind.|<span class="tooltip00625" data-tooltip-content="#tooltip_content00625" data-tooltip-anchor="#tooltip_content00625"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Each time the bearer’s unit ends a <span class="tooltip00026" data-tooltip-content="#tooltip_content00026"><span class="tt kwbu">Charge</span> <span class="tt kwbu">move</span></span>, select one enemy unit within <span class="tooltip00032" data-tooltip-content="#tooltip_content00032"><span class="tt kwbu">Engagement</span> <span class="tt kwbu">Range</span></span> of the bearer and roll one D6: on a 4+, that enemy unit suffers D3 <span class="tooltip00006" data-tooltip-content="#tooltip_content00006"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>. Once per battle, after the bearer s unit ends a Charge move, all enemy units within 6" of the bearer must take a <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">test</span></span>.|
000009264002|AC|Voidstrider|0|Voyagers in Darkness|At home in voidborne warfare, this superhuman warrior is able to move with marked purpose and speed.|Add 2" to the bearer’s Move characteristic.|
000008395003|AC|Castellan’s Mark|20|Shield Host|This finely worked pauldron is awarded to whichever living Custodian currently holds the greatest tally of victories in the Blood Games. The one who bears the Castellan 's Mark is guaranteed to be a superlative strategic genius.|<span class="tooltip00627" data-tooltip-content="#tooltip_content00627" data-tooltip-anchor="#tooltip_content00627"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> model only. After both players have deployed their armies, you can select up to two <span class="tooltip00625" data-tooltip-content="#tooltip_content00625" data-tooltip-anchor="#tooltip_content00625"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> units from your army (excluding <span class="tooltip00624" data-tooltip-content="#tooltip_content00624" data-tooltip-anchor="#tooltip_content00624"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> units) and redeploy all of those units. When doing so, any of those units can be placed into <a href="/wh40k10ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a>, regardless of how many units are already in Strategic Reserves.|
000008930003|AC|Inspirational Exemplar|10|Auric Champions|Here is a singular being even the mighty Custodians can look up to and be inspired by|<span class="tooltip00625" data-tooltip-content="#tooltip_content00625" data-tooltip-anchor="#tooltip_content00625"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. The bearer has a Leadership characteristic of 5+. Once per battle, at the start of any phase, you can select one friendly <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit that is <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">Battle-shocked</span></span> and within 12" of the bearer; that unit is no longer Battle-shocked.|
000009753003|AC|Augury Uplink|25|Solar Spearhead|The war engines of the Adeptus Custodes possess an array of augury equipment that combines to build an intricate picture of the unfolding conflict, enabling the bearer to tap into this accumulated data stream, detect incoming threats and angle their armour to repel the worst of enemy attacks.|<span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> model only. The bearer has the <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">5+</span></span> ability.|
000008921003|AC|Champion of the Imperium|25|Talons Of The Emperor|This leader is amongst the finest martial champions in all the Emperor's realm, and their mere presence inspires their followers to remarkable efforts.|<span class="tooltip00625" data-tooltip-content="#tooltip_content00625" data-tooltip-anchor="#tooltip_content00625"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. The range of the bearer’s <span class="tooltip00628" data-tooltip-content="#tooltip_content00628"><span class="tt kwbu">Null</span> <span class="tt kwbu">Aegis</span> <span class="tt kwbu">or</span> <span class="tt kwbu">Deadly</span> <span class="tt kwbu">Unity</span></span> ability is increased to 9".|
000009264003|AC|Mantle of the Emissary|0|Voyagers in Darkness|This ancient cloak symbolises its wearer’s dedication to a vision-sent mission from the Emperor, and fills them with overwhelming purpose and determination.|The bearer has an Objective Control characteristic of 5.|
000009273003|AC|Sinister Presence (Aura)|0|Black Ship Guardians|So deeply unsettling is the null aura surrounding this warrior that it causes unreasoning paranoia to spread amongst her foes, shattering their focus.|<span class="tooltip00624" data-tooltip-content="#tooltip_content00624" data-tooltip-anchor="#tooltip_content00624"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. While an enemy unit is within 6" of the bearer (when measuring this distance, <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Walls</a> and closed <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Hatchways</a> are ignored), that unit cannot <a href="/wh40k10ed/the-rules/boarding-action-rules/#SEIZING-AND-SECURING-OBJECTIVE-MARKERS">Seize objective markers</a> and, in your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, that unit must take a <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">Battle-shock</span></span> lest. This Enhancement cannot cause a unit to take two <span class="tooltip00029" data-tooltip-content="#tooltip_content00029"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">tests</span></span> in the same phase.|
