faction_id|id|name|type|cp_cost|legend|turn|phase|detachment|description|
|000009218006|EXPLOSIVE CLEARANCE|Boarding Actions – Battle Tactic Stratagem|1|A well-placed explosive munition in confined shipboard spaces can cause bloody carnage.|Your turn|Shooting phase||<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Select one model in your unit that is equipped with a weapon with the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Blast">[BLAST]</a></span> ability. Until the end of the phase, when determining how many models are in the target unit for the purpose of that ability, include models that are not <a href="/wh40k10ed/the-rules/boarding-action-rules/#Visibility">visible</a> to the attacking model. In addition, attacks made with that weapon can be allocated to models that are not visible to the attacking model.|
|000009218002|COMMAND RE-ROLL|Boarding Actions – Epic Deed Stratagem|1|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either player’s turn|Any phase||<b>WHEN:</b> Any phase, just after you have made a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>, a Damage roll, a <a href="/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a>, an <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Desperate Escape test</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">Hazardous test</a>, or just after you have rolled the dice to determine the number of attacks made with a weapon, for an attack, model or unit from your army.<br><br><b>TARGET:</b> That unit or model from your army.<br><br><b>EFFECT:</b> You re-roll that roll, test or saving throw.|
|000009218005|INSANE BRAVERY|Boarding Actions – Epic Deed Stratagem|1|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock</a> step of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, just after you have failed a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a> taken for a unit from your army.<br><br><b>TARGET:</b> The unit from your army that Battle-shock test was just taken for (even though your Battle-shocked units cannot normally be affected by your Stratagems).<br><br><b>EFFECT:</b> Your unit is treated as having passed that test instead, and is not Battle-shocked as a result.|
|000009218003|BATTLEFIELD COMMAND|Boarding Actions – Strategic Ploy Stratagem|1|The commander's authoritative tone cuts through the din of battle, guiding the actions of nearby troops.|Either player’s turn|Any phase||<b>WHEN:</b> Start or end of any phase.<br><br><b>TARGET:</b> One <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Leader</a> unit from your army and one friendly <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Bodyguard</a> unit within 6" of it that it could normally be attached to.<br><br><b>EFFECT:</b> Select one of your Leader unit’s <a href="/wh40k10ed/the-rules/boarding-action-rules/#Leader-Abilities">Leader abilities</a>. Until the start of your next <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, that Bodyguard unit is treated as being led by that Leader unit for the purposes of that Leader ability.<br><br><b>RESTRICTIONS:</b> Once you target a unit with this Stratagem, that unit cannot be targeted with it again until your next Command phase.|
|000009218004|COUNTER-OFFENSIVE|Boarding Actions – Strategic Ploy Stratagem|2|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either player’s turn|Fight phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has fought.<br><br><b>TARGET:</b> One unit from your army that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units and that has not already been selected to fight this phase.<br><br><b>EFFECT:</b> Your unit fights next.|
|000008335010|GO TO GROUND|Core – Battle Tactic Stratagem|1|Seeking salvation from incoming fire, warriors hurl themselves into whatever cover they can find.|Opponent’s turn|Shooting phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="kwb">INFANTRY</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, all models in your unit have a 6+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> and have the <a href="/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover">Benefit of Cover</a>.|
|000008335002|COMMAND RE-ROLL|Core – Battle Tactic Stratagem|1|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either player’s turn|Any phase||<b>WHEN:</b> Any phase, just after you make an <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advance roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Desperate Escape test</a> or a <a href="/wh40k10ed/the-rules/core-rules/#Hazardous">Hazardous test</a> for a unit from your army, or a <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>, a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>, a Damage roll or a <a href="/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> for a model in that unit, or a roll to determine the number of attacks made with a weapon equipped by a model in that unit. If you are using <a href="/wh40k10ed/the-rules/core-rules/#Fast-Dice-Rolling">fast dice rolling</a>, this Stratagem can still be used after rolling multiple rolls or saving throws at once.<br><br><b>TARGET:</b> That unit or model from your army.<br><br><b>EFFECT:</b> You <a href="/wh40k10ed/the-rules/core-rules/#Re-rolls">re-roll</a> that roll, test or saving throw. If you are using fast dice rolling, select one of those rolls or saving throws to re-roll.|
|000008335005|INSANE BRAVERY|Core – Epic Deed Stratagem|1|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock</a> step of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, just before you take a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a> for a unit from your army.<br><br><b>TARGET:</b> That unit from your army.<br><br><b>EFFECT:</b> Your unit automatically passes that Battle-shock test.<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem more than once per battle.|
|000008335004|EPIC CHALLENGE|Core – Epic Deed Stratagem|1|The legends of the 41st Millennium are replete with deadly duels between mighty champions.|Either player’s turn|Fight phase||<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a <span class="kwb">CHARACTER</span> unit from your army that is within <a href="/wh40k10ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of one or more <a href="/wh40k10ed/the-rules/core-rules/#Attached-Units">Attached units</a> is selected to fight.<br><br><b>TARGET:</b> One <span class="kwb">CHARACTER</span> model in your unit.<br><br><b>EFFECT:</b> Until the end of the phase, all melee attacks made by that model have the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Precision">[PRECISION]</a></span> ability.|
|000008335012|HEROIC INTERVENTION|Core – Strategic Ploy Stratagem|1|Voices raised in furious war cries, your warriors surge forth to meet the enemy’s onslaught head-on.|Opponent’s turn|Charge phase||<b>WHEN:</b> Your opponent’s <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, just after an enemy unit ends a <a href="/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit">Charge move</a>.<br><br><b>TARGET:</b> One unit from your army that is within 6" of that enemy unit and would be eligible to declare a charge against that enemy unit if it were your Charge phase.<br><br><b>EFFECT:</b> Your unit now declares a charge that targets only that enemy unit, and you resolve that charge as if it were your Charge phase.<br><br><b>RESTRICTIONS:</b> You can only select a <span class="kwb">VEHICLE</span> unit from your army if it is a <span class="kwb">WALKER</span>. Note that even if this charge is successful, your unit does not receive any <a href="/wh40k10ed/the-rules/core-rules/#Charge-Bonus">Charge bonus</a> this turn.|
