leader_id|attached_id|
000001348|000000116|
000001348|000002784|
000000460|000000471|
000000461|000000471|
000000462|000000490|
000000463|000000467|
000002688|000002687|
000002688|000000471|
000002694|000000484|
000002694|000002691|
000002694|000002692|
000000499|000000476|
000001611|000001157|
000002100|000002780|
000001611|000000071|
000002530|000002779|
000002530|000002806|
000002530|000001159|
000002199|000002781|
000002199|000002780|
000002199|000000071|
000002199|000002798|
000002199|000001177|
000002199|000002099|
000002199|000002799|
000002199|000001606|
000001344|000002783|
000001344|000000147|
000001345|000002718|
000001346|000000315|
000001346|000001606|
000001346|000003698|
000001346|000000303|
000002234|000003698|
000002234|000002798|
000002234|000002255|
000002234|000002783|
000002234|000002797|
000002473|000002099|
000002473|000001177|
000002473|000002781|
000002266|000000303|
000002266|000002782|
000001527|000000116|
000001527|000002784|
000001162|000000310|
000001162|000001523|
000001165|000000071|
000001167|000000116|
000001167|000002784|
000001172|000000103|
000001172|000002781|
000001172|000002099|
000001174|000003698|
000001174|000001997|
000001174|000002798|
000001174|000002799|
000001182|000000116|
000002100|000002772|
000002100|000002255|
000002105|000000230|
000002105|000000118|
000002713|000003698|
000000063|000000116|
000000073|000000126|
000000073|000002255|
000000073|000003698|
000002701|000001668|
000002701|000002806|
000002701|000002779|
000002701|000002718|
000002701|000000128|
000002702|000000116|
000002702|000000241|
000002707|000002255|
000002707|000002799|
000002707|000002798|
000002707|000003698|
000002707|000002783|
000002708|000002776|
000002708|000000147|
000002709|000002782|
000002709|000002780|
000002709|000001157|
000002713|000000070|
000002713|000002255|
000002713|000002799|
000002678|000000061|
000002726|000000126|
000002726|000001606|
000002726|000000305|
000002726|000002799|
000002707|000000070|
000002678|000000070|
000002678|000002255|
000002678|000001154|
000002678|000002782|
000002678|000002103|
000000079|000000118|
000000079|000002302|
000001174|000002797|
000000081|000000315|
000000081|000003698|
000000081|000002772|
000000081|000001606|
000000081|000002255|
000000083|000002776|
000000083|000000147|
000000218|000001606|
000000112|000002776|
000000112|000000147|
000000115|000000118|
000000115|000002302|
000000140|000001606|
000000135|000002778|
000000135|000000118|
000001346|000001157|
000000140|000000070|
000000140|000000305|
000000148|000000147|
000000148|000000305|
000000148|000000070|
000000148|000002782|
000000148|000002799|
000000094|000002784|
000000140|000002270|
000000119|000001668|
000000119|000001159|
000000119|000002779|
000000119|000002806|
000000121|000001606|
000000121|000000315|
000000121|000002799|
000000127|000001177|
000000127|000002781|
000000127|000000103|
000000060|000001177|
000000060|000002099|
000000060|000002781|
000000924|000000947|
000000931|000000957|
000000932|000000957|
000000935|000000957|
000000936|000000952|
000000936|000002571|
000002569|000002571|
000001355|000000952|
000000928|000000952|
000000925|000000952|
000001354|000002570|
000001584|000000952|
000001584|000002570|
000001581|000002570|
000001581|000000953|
000002731|000002732|
000001600|000002571|
000001600|000000946|
000000938|000000952|
000000938|000002570|
000000939|000000947|
000000940|000000957|
000000941|000000952|
000000941|000003583|
000000942|000000952|
000000942|000002570|
000000943|000000957|
000000944|000000952|
000000944|000000966|
000000944|000002570|
000000924|000000952|
000000929|000000952|
000000929|000002570|
000000930|000000947|
000000933|000000952|
000000933|000003583|
000000934|000000952|
000000934|000003584|
000000936|000000946|
000001355|000002570|
000000928|000000946|
000000925|000002570|
000001354|000000951|
000001581|000000952|
000002731|000002590|
000002589|000002590|
000002489|000002494|
000000009|000000045|
000002080|000000019|
000002080|000000021|
000001536|000000044|
000000015|000000021|
000000015|000000044|
